,_cv,_working_hours_below_63,_consumption_below_63,_savings_below_63,_sra_at_63,_ret_age,_ret_age_excl_disabled,_private_wealth_at_ret,_private_wealth_at_ret_excl_disability,_pension_wealth_at_ret,_pension_wealth_at_ret_excl_disability,_pensions,_pensions_excl_disability,_share_below_SRA,_share_very_long_insured,_share_disability_pensions,_pensions_share_below_63,_share_rejected_disability_pensions,_lifecycle_working_hours,_lifecycle_avg_wealth
Informed_unc_False,0.0,1411.0321495228395,38.01275213154082,4.935518757196975,67.0,63.01415052622269,64.86719681908549,261.03850202803443,270.34366223046896,195.34105056136445,186.849344055318,12.362081103649057,12.56305869454853,86.35579729371186,9.07181392058017,20.637658087910143,16.58928097638631,89.70588235294117,892.7677673660185,160.03857388400564
Uninformed_unc_False,-0.38308760585743423,1428.3418331586813,38.34979581426103,4.5149510770867,67.0,64.35922286635181,66.54473982817312,244.42453867326805,252.48491650793466,199.04617050169833,191.0658574149304,13.423344477919898,13.827041173188924,56.592877767083735,16.755825144929158,23.12823152852698,17.152002148756633,91.79444178246287,936.2814805088296,155.5202692563062
Informed_unc_True,-0.1980838025354086,1405.2690205467038,37.92488014762927,5.010376560712597,68.32295746980972,63.07569659442724,64.97019179541822,263.2428927764027,272.8521260729813,187.36269274474415,177.5026286878308,11.858485826239145,11.98370886266116,91.84210526315789,5.386996904024768,21.764705882352942,16.983635559486952,92.07529073252607,888.9473698263712,161.41051044289074
Uninformed_unc_True,-0.6968463668093103,1421.7329228393519,38.43006784769805,4.31541554979384,68.32295746980972,64.97352038975099,67.35351295109797,235.72179388072388,243.0608924881078,192.41604895965892,183.1999238119661,13.428290935174907,13.855858646317367,69.63866835077589,20.450649584987367,26.25857091302779,17.62450378924576,93.91826923076924,947.1995709114534,153.40404097823063
