,cv
full_ex_post,-0.3060033977824878
full_ex_ante,-0.4718344116869921
informed_ex_post,-0.2063755582724922
informed_ex_ante,-0.2196432642642028
uninformed_ex_post,-0.3321481142970456
uninformed_ex_ante,-0.54053122529392
