,sra_at_63,cf_working_hours_below_63,cf_consumption_below_63,cf_savings_below_63,cf_sra_at_63,cf_ret_age,cf_ret_age_excl_disabled,cf_private_wealth_at_ret,cf_private_wealth_at_ret_excl_disability,cf_pension_wealth_at_ret,cf_pension_wealth_at_ret_excl_disability,cf_pensions,cf_pensions_excl_disability,cf_share_below_SRA,cf_share_very_long_insured,cf_share_disability_pensions,cf_pensions_share_below_63,cf_share_rejected_disability_pensions,cf_lifecycle_working_hours,cf_lifecycle_avg_wealth,base_working_hours_below_63,base_consumption_below_63,base_savings_below_63,base_sra_at_63,base_ret_age,base_ret_age_excl_disabled,base_private_wealth_at_ret,base_private_wealth_at_ret_excl_disability,base_pension_wealth_at_ret,base_pension_wealth_at_ret_excl_disability,base_pensions,base_pensions_excl_disability,base_share_below_SRA,base_share_very_long_insured,base_share_disability_pensions,base_pensions_share_below_63,base_share_rejected_disability_pensions,base_lifecycle_working_hours,base_lifecycle_avg_wealth,cv
0,67,1438.9820871335755,38.351122469654825,4.72278452197068,67.0,63.93669860559321,65.91508607647349,251.55333628063406,260.3370925610508,200.70145159744388,193.98657197696917,13.260758653309244,13.61915164195234,67.76260586029224,14.575056477370103,21.835987491514484,16.144626581644577,85.85682835025922,932.3197288675266,158.11073949769508,1438.9820871335755,38.351122469654825,4.72278452197068,67.0,63.93669860559321,65.91508607647349,251.55333628063406,260.3370925610508,200.70145159744388,193.98657197696917,13.260758653309244,13.61915164195234,67.76260586029224,14.575056477370103,21.835987491514484,16.144626581644577,85.85682835025922,932.3197288675266,158.11073949769508,0.0
1,68,1435.6903535248348,38.36701996805753,4.665071174136257,68.0,64.24200565489086,66.31984154599716,249.30155422620845,257.97810415277536,195.35398062735882,187.75665485010506,13.111756132571555,13.462218756699125,73.90084734028059,16.193266838487204,23.686890569375148,16.559092716089637,87.998480820357,937.8033452199392,157.82600535815033,1438.9820871335755,38.351122469654825,4.72278452197068,67.0,63.93669860559321,65.91508607647349,251.55333628063406,260.3370925610508,200.70145159744388,193.98657197696917,13.260758653309244,13.61915164195234,67.76260586029224,14.575056477370103,21.835987491514484,16.144626581644577,85.85682835025922,932.3197288675266,158.11073949769508,-0.21936567508849134
2,69,1434.2773662813295,38.39440236352148,4.62463567719057,69.0,64.5393473486037,66.713344138595,247.12235914114348,255.59562578032055,190.3286077163567,181.80961666494187,12.984536982735793,13.325437896778194,79.23864807925052,17.482630328566945,25.486350800125514,16.89295799901385,89.6859866017777,944.2837902054445,157.7776221206998,1438.9820871335755,38.351122469654825,4.72278452197068,67.0,63.93669860559321,65.91508607647349,251.55333628063406,260.3370925610508,200.70145159744388,193.98657197696917,13.260758653309244,13.61915164195234,67.76260586029224,14.575056477370103,21.835987491514484,16.144626581644577,85.85682835025922,932.3197288675266,158.11073949769508,-0.4344498764475565
3,70,1432.8619211402154,38.4176000403384,4.586868011639104,70.0,64.83943003455973,67.10748765368379,244.79911499818613,252.9884955601231,185.3786009816357,175.92912206503212,12.87260565350292,13.20425591808667,83.69033047735618,18.577426380588953,27.25448196414429,17.172312621499028,90.97866253427107,950.8873362298139,157.65962844497398,1438.9820871335755,38.351122469654825,4.72278452197068,67.0,63.93669860559321,65.91508607647349,251.55333628063406,260.3370925610508,200.70145159744388,193.98657197696917,13.260758653309244,13.61915164195234,67.76260586029224,14.575056477370103,21.835987491514484,16.144626581644577,85.85682835025922,932.3197288675266,158.11073949769508,-0.6475343525934374
