sex,education,experience_years_median,experience_median,assets_begin_of_period_median,experience_years_mean,experience_mean,assets_begin_of_period_mean
0,0,8.0,0.5,4.729796267524933,7.503759398496241,0.46775642425984104,12.563923637598638
0,1,5.0,0.3125,9.485062339547675,5.464285714285714,0.34151785714285715,19.288268985937208
1,0,3.0,0.1875,4.771182824107071,3.7596153846153846,0.23497596153846154,9.819687902558941
1,1,4.0,0.25,12.773736276611865,4.343434343434343,0.27146464646464646,17.057197630622177
