,alpha,below_sixty_savings,sra_at_ret,ret_age,working_hours,cv,base_below_sixty_savings,base_ret_age,base_sra_at_ret,base_working_hours
0,0.0,,,,,,,,,
1,0.01,2.171193163880131,67.346035,66.35861,999.043774192158,-0.0034776887677320455,2.145661082795071,65.95231,67.0,999.043774192158
2,0.02,2.1951948333054006,67.732175,66.45912,1002.7936136115009,-0.004509002608123804,2.145661082795071,65.95231,67.0,1002.7936136115009
3,0.03,2.22253708196165,68.091045,66.54539,1004.4640575789853,-0.004299628936226189,2.145661082795071,65.95231,67.0,1004.4640575789853
4,0.0406784942515635,2.2511075943773653,68.52072,66.99844,1012.8334003488534,-0.009440330983680462,2.145661082795071,65.95231,67.0,1012.8334003488534
5,0.05,2.273824087709614,68.8432,67.06197,1015.632053899311,-0.010292716794198463,2.145661082795071,65.95231,67.0,1015.632053899311
6,0.06,2.2970940802543485,69.2296175,67.18033,1017.7147521502941,-0.010112965909363992,2.145661082795071,65.95231,67.0,1017.7147521502941
7,0.07,2.320950896135292,69.6197725,67.61351,1025.7636639860418,-0.015050630891735408,2.145661082795071,65.95231,67.0,1025.7636639860418
8,0.08,2.346556204093791,70.0146525,67.72493,1027.8828073836687,-0.014869896391578447,2.145661082795071,65.95231,67.0,1027.8828073836687
9,0.09,2.3694026900877625,70.4242575,68.1769,1035.659950214506,-0.020097401038440176,2.145661082795071,65.95231,67.0,1035.659950214506
10,0.1,2.3946129519320847,70.826075,68.25713,1039.0968517089443,-0.02104600149217139,2.145661082795071,65.95231,67.0,1039.0968517089443
