,sra_at_63,cf_below_sixty_savings,cf_ret_age,cf_sra_at_ret,cf_working_hours,base_below_sixty_savings,base_ret_age,base_sra_at_ret,base_working_hours,cv
0,67.0,,,,,,,,,
1,67.25,0.5836012321219929,65.31065551163005,67.25,923.4407304318902,0.6090518404916638,64.68241508983466,67.0,912.299325906756,-0.003277901808388185
2,67.5,0.5865404741270814,65.3293405817132,67.5,923.6479315331101,0.6090518404916638,64.68241508983466,67.0,912.299325906756,-0.003449708738978652
3,67.75,0.5894769649925659,65.34896458352564,67.75,923.9111846560174,0.6090518404916638,64.68241508983466,67.0,912.299325906756,-0.0035952469030077427
4,68.0,0.5922272428246399,65.36739539329653,68.0,924.1115546924956,0.6090518404916638,64.68241508983466,67.0,912.299325906756,-0.0037661759151629793
5,68.25,0.5703170250671997,65.99380716463415,68.25,934.5916178145696,0.6090518404916638,64.68241508983466,67.0,912.299325906756,-0.007124910382518333
6,68.5,0.5732769243291086,66.01291841669848,68.5,934.7394590651329,0.6090518404916638,64.68241508983466,67.0,912.299325906756,-0.007266243170491957
7,68.75,0.5761423682364629,66.02794614942896,68.75,934.8585125179571,0.6090518404916638,64.68241508983466,67.0,912.299325906756,-0.007414122743672242
8,69.0,0.5788693961130251,66.04335038363172,69.0,934.9121305395597,0.6090518404916638,64.68241508983466,67.0,912.299325906756,-0.007566128521950695
9,69.25,0.559804850913806,66.66148514851486,69.25,944.3251182215771,0.6090518404916638,64.68241508983466,67.0,912.299325906756,-0.010834190698210152
10,69.5,0.5626369201877169,66.67257925739625,69.5,944.2510402049511,0.6090518404916638,64.68241508983466,67.0,912.299325906756,-0.010922609147716703
11,69.75,0.5654387178837827,66.68641369245057,69.75,944.3162840205329,0.6090518404916638,64.68241508983466,67.0,912.299325906756,-0.011020644352648018
12,70.0,0.5680924699732083,66.7045492307181,70.0,944.4996131688971,0.6090518404916638,64.68241508983466,67.0,912.299325906756,-0.011149195093068718
