,working_hours_35_base,savings_35_base,consumption_35_base,income_35_base,assets_35_base,savings_rate_35_base,employment_rate_35_base,retirement_rate_35_base,working_hours_35_cf,savings_35_cf,consumption_35_cf,income_35_cf,assets_35_cf,savings_rate_35_cf,employment_rate_35_cf,retirement_rate_35_cf,savings_rate_diff_35,employment_rate_diff_35,retirement_rate_diff_35,working_hours_45_base,savings_45_base,consumption_45_base,income_45_base,assets_45_base,savings_rate_45_base,employment_rate_45_base,retirement_rate_45_base,working_hours_45_cf,savings_45_cf,consumption_45_cf,income_45_cf,assets_45_cf,savings_rate_45_cf,employment_rate_45_cf,retirement_rate_45_cf,savings_rate_diff_45,employment_rate_diff_45,retirement_rate_diff_45,working_hours_55_base,savings_55_base,consumption_55_base,income_55_base,assets_55_base,savings_rate_55_base,employment_rate_55_base,retirement_rate_55_base,working_hours_55_cf,savings_55_cf,consumption_55_cf,income_55_cf,assets_55_cf,savings_rate_55_cf,employment_rate_55_cf,retirement_rate_55_cf,savings_rate_diff_55,employment_rate_diff_55,retirement_rate_diff_55
30,1158.6837219159365,-1.4816362356843442e+71,4.641173689255972e+71,3.159537453571627e+71,1.0531791511905387e+73,-0.46894086791389744,0.6348,0.0,1158.6837219159365,-1.4816362356843442e+71,4.641173689255972e+71,3.159537453571627e+71,1.0531791511905387e+73,-0.46894086791389744,0.6348,0.0,0.0,0.0,0.0,1158.6837219159365,-1.4816362356843442e+71,4.641173689255972e+71,3.159537453571627e+71,1.0531791511905387e+73,-0.46894086791389744,0.6348,0.0,1158.6837219159365,-1.4816362356843442e+71,4.641173689255972e+71,3.159537453571627e+71,1.0531791511905387e+73,-0.46894086791389744,0.6348,0.0,0.0,0.0,0.0,1158.6837219159365,-1.4816362356843442e+71,4.641173689255972e+71,3.159537453571627e+71,1.0531791511905387e+73,-0.46894086791389744,0.6348,0.0,1158.6837219159365,-1.4816362356843442e+71,4.641173689255972e+71,3.159537453571627e+71,1.0531791511905387e+73,-0.46894086791389744,0.6348,0.0,0.0,0.0,0.0
31,1173.04903623565,-1.5400507617293739e+71,4.654343617194263e+71,3.115503299520814e+71,1.0382310895543122e+73,-0.49431844991666174,0.64348,0.00027,1173.04903623565,-1.5400507617293739e+71,4.654343617194263e+71,3.115503299520814e+71,1.0382310895543122e+73,-0.49431844991666174,0.64348,0.00027,0.0,0.0,0.0,1173.04903623565,-1.5400507617293739e+71,4.654343617194263e+71,3.115503299520814e+71,1.0382310895543122e+73,-0.49431844991666174,0.64348,0.00027,1173.04903623565,-1.5400507617293739e+71,4.654343617194263e+71,3.115503299520814e+71,1.0382310895543122e+73,-0.49431844991666174,0.64348,0.00027,0.0,0.0,0.0,1173.04903623565,-1.5400507617293739e+71,4.654343617194263e+71,3.115503299520814e+71,1.0382310895543122e+73,-0.49431844991666174,0.64348,0.00027,1173.04903623565,-1.5400507617293739e+71,4.654343617194263e+71,3.115503299520814e+71,1.0382310895543122e+73,-0.49431844991666174,0.64348,0.00027,0.0,0.0,0.0
32,1189.0965546527498,-1.6059200759462226e+71,4.674415041416153e+71,3.069289965827128e+71,1.0229226818714974e+73,-0.5232220135035208,0.6538565412661419,0.00021005671531313454,1189.0965546527498,-1.6059200759462226e+71,4.674415041416153e+71,3.069289965827128e+71,1.0229226818714974e+73,-0.5232220135035208,0.6538565412661419,0.00021005671531313454,0.0,0.0,0.0,1189.0965546527498,-1.6059200759462226e+71,4.674415041416153e+71,3.069289965827128e+71,1.0229226818714974e+73,-0.5232220135035208,0.6538565412661419,0.00021005671531313454,1189.0965546527498,-1.6059200759462226e+71,4.674415041416153e+71,3.069289965827128e+71,1.0229226818714974e+73,-0.5232220135035208,0.6538565412661419,0.00021005671531313454,0.0,0.0,0.0,1189.0965546527498,-1.6059200759462226e+71,4.674415041416153e+71,3.069289965827128e+71,1.0229226818714974e+73,-0.5232220135035208,0.6538565412661419,0.00021005671531313454,1189.0965546527498,-1.6059200759462226e+71,4.674415041416153e+71,3.069289965827128e+71,1.0229226818714974e+73,-0.5232220135035208,0.6538565412661419,0.00021005671531313454,0.0,0.0,0.0
33,1217.654670752149,-1.6645364547470764e+71,4.684966389242826e+71,3.0218834223318046e+71,1.0069820628662293e+73,-0.5508274880645972,0.6617676484712662,0.0003301584760685129,1217.654670752149,-1.6645364547470764e+71,4.684966389242826e+71,3.0218834223318046e+71,1.0069820628662293e+73,-0.5508274880645972,0.6617676484712662,0.0003301584760685129,0.0,0.0,0.0,1217.654670752149,-1.6645364547470764e+71,4.684966389242826e+71,3.0218834223318046e+71,1.0069820628662293e+73,-0.5508274880645972,0.6617676484712662,0.0003301584760685129,1217.654670752149,-1.6645364547470764e+71,4.684966389242826e+71,3.0218834223318046e+71,1.0069820628662293e+73,-0.5508274880645972,0.6617676484712662,0.0003301584760685129,0.0,0.0,0.0,1217.654670752149,-1.6645364547470764e+71,4.684966389242826e+71,3.0218834223318046e+71,1.0069820628662293e+73,-0.5508274880645972,0.6617676484712662,0.0003301584760685129,1217.654670752149,-1.6645364547470764e+71,4.684966389242826e+71,3.0218834223318046e+71,1.0069820628662293e+73,-0.5508274880645972,0.6617676484712662,0.0003301584760685129,0.0,0.0,0.0
34,1233.1546398713385,-1.7325079202447655e+71,4.703300235368386e+71,2.972723023684566e+71,9.905010730677427e+72,-0.5828016624627862,0.6712036749767312,0.000500405328315936,1233.1546398713385,-1.7325252666600587e+71,4.703300235368386e+71,2.972752787524326e+71,9.905010730677427e+72,-0.5828016624627861,0.6712036749767312,0.000500405328315936,1.1102230246251565e-16,0.0,0.0,1233.1546398713385,-1.7325079202447655e+71,4.703300235368386e+71,2.972723023684566e+71,9.905010730677427e+72,-0.5828016624627862,0.6712036749767312,0.000500405328315936,1233.1546398713385,-1.7325079202447655e+71,4.703300235368386e+71,2.972723023684566e+71,9.905010730677427e+72,-0.5828016624627862,0.6712036749767312,0.000500405328315936,0.0,0.0,0.0,1233.1546398713385,-1.7325079202447655e+71,4.703300235368386e+71,2.972723023684566e+71,9.905010730677427e+72,-0.5828016624627862,0.6712036749767312,0.000500405328315936,1233.1546398713385,-1.7325079202447655e+71,4.703300235368386e+71,2.972723023684566e+71,9.905010730677427e+72,-0.5828016624627862,0.6712036749767312,0.000500405328315936,0.0,0.0,0.0
35,1248.324415957162,-1.7939674990680472e+71,4.7139918979428075e+71,2.9219604655876636e+71,9.735869634510706e+72,-0.6139602230063866,0.6790395417997577,0.00047061650762498874,1248.127804060372,-1.743883637620444e+71,4.665352845951052e+71,2.923478806755626e+71,9.74073353970988e+72,-0.5965097587130261,0.6789494237451061,0.00047061650762498874,0.0174504642933605,-9.011805465153344e-05,0.0,1248.324415957162,-1.7939674990680472e+71,4.7139918979428075e+71,2.9219604655876636e+71,9.735869634510706e+72,-0.6139602230063866,0.6790395417997577,0.00047061650762498874,1248.324415957162,-1.7939674990680472e+71,4.7139918979428075e+71,2.9219604655876636e+71,9.735869634510706e+72,-0.6139602230063866,0.6790395417997577,0.00047061650762498874,0.0,0.0,0.0,1248.324415957162,-1.7939674990680472e+71,4.7139918979428075e+71,2.9219604655876636e+71,9.735869634510706e+72,-0.6139602230063866,0.6790395417997577,0.00047061650762498874,1248.324415957162,-1.7939674990680472e+71,4.7139918979428075e+71,2.9219604655876636e+71,9.735869634510706e+72,-0.6139602230063866,0.6790395417997577,0.00047061650762498874,0.0,0.0,0.0
36,1254.3368966083397,-1.8533481242659465e+71,4.720890331038729e+71,2.8691507195323874e+71,9.560578229271337e+72,-0.6459570463304222,0.6837971589429184,0.00045080242832241387,1253.9160226605939,-1.8016231082392614e+71,4.672043696132623e+71,2.87229348829469e+71,9.570475073932295e+72,-0.6272419986262975,0.6835867844763679,0.00045080242832241387,0.018715047704124688,-0.0002103744665504781,0.0,1254.3368966083397,-1.8533481242659465e+71,4.720890331038729e+71,2.8691507195323874e+71,9.560578229271337e+72,-0.6459570463304222,0.6837971589429184,0.00045080242832241387,1254.3368966083397,-1.8533481242659465e+71,4.720890331038729e+71,2.8691507195323874e+71,9.560578229271337e+72,-0.6459570463304222,0.6837971589429184,0.00045080242832241387,0.0,0.0,0.0,1254.3368966083397,-1.8533481242659465e+71,4.720890331038729e+71,2.8691507195323874e+71,9.560578229271337e+72,-0.6459570463304222,0.6837971589429184,0.00045080242832241387,1254.3368966083397,-1.8533481242659465e+71,4.720890331038729e+71,2.8691507195323874e+71,9.560578229271337e+72,-0.6459570463304222,0.6837971589429184,0.00045080242832241387,0.0,0.0,0.0
37,1261.8093147704471,-1.9087374906357023e+71,4.722015895098254e+71,2.814793312564644e+71,9.379635218596183e+72,-0.6781092885632137,0.688966395060986,0.0004910951421670325,1261.3274841775128,-1.8554346064821012e+71,4.673053915643319e+71,2.819634081639737e+71,9.394729763982253e+72,-0.6580409204740096,0.6886957916153021,0.0004910951421670325,0.02006836808920409,-0.0002706034456838591,0.0,1261.8093147704471,-1.9087374906357023e+71,4.722015895098254e+71,2.814793312564644e+71,9.379635218596183e+72,-0.6781092885632137,0.688966395060986,0.0004910951421670325,1261.8093147704471,-1.9087374906357023e+71,4.722015895098254e+71,2.814793312564644e+71,9.379635218596183e+72,-0.6781092885632137,0.688966395060986,0.0004910951421670325,0.0,0.0,0.0,1261.8093147704471,-1.9087374906357023e+71,4.722015895098254e+71,2.814793312564644e+71,9.379635218596183e+72,-0.6781092885632137,0.688966395060986,0.0004910951421670325,1261.8093147704471,-1.9087374906357023e+71,4.722015895098254e+71,2.814793312564644e+71,9.379635218596183e+72,-0.6781092885632137,0.688966395060986,0.0004910951421670325,0.0,0.0,0.0
38,1273.8212181426807,-1.9650430389188075e+71,4.722756696118757e+71,2.7585188528537294e+71,9.193495418768995e+72,-0.7123543987694486,0.6945291192042355,0.0006517728220760469,1273.3371226960285,-1.9105367397335158e+71,4.673763785130144e+71,2.765571476356885e+71,9.213949730610633e+72,-0.6908289140479149,0.6942684100754051,0.0006517728220760469,0.021525484721533705,-0.0002607091288304719,0.0,1273.8212181426807,-1.9650430389188075e+71,4.722756696118757e+71,2.7585188528537294e+71,9.193495418768995e+72,-0.7123543987694486,0.6945291192042355,0.0006517728220760469,1273.8212181426807,-1.9650430389188075e+71,4.722756696118757e+71,2.7585188528537294e+71,9.193495418768995e+72,-0.7123543987694486,0.6945291192042355,0.0006517728220760469,0.0,0.0,0.0,1273.8212181426807,-1.9650430389188075e+71,4.722756696118757e+71,2.7585188528537294e+71,9.193495418768995e+72,-0.7123543987694486,0.6945291192042355,0.0006517728220760469,1273.8212181426807,-1.9650430389188075e+71,4.722756696118757e+71,2.7585188528537294e+71,9.193495418768995e+72,-0.7123543987694486,0.6945291192042355,0.0006517728220760469,0.0,0.0,0.0
39,1283.7694604428955,-2.0170858116220378e+71,4.718183158610466e+71,2.701097346988428e+71,9.00365782329475e+72,-0.7467653151675467,0.7005408225720678,0.0008428403720538214,1283.3146866085053,-1.961542578221182e+71,4.669251475019121e+71,2.7105216141709204e+71,9.029632673317924e+72,-0.7236771579189816,0.7003301124790544,0.0008428403720538214,0.023088157248565166,-0.00021071009301343313,0.0,1283.7694604428955,-2.0170858116220378e+71,4.718183158610466e+71,2.701097346988428e+71,9.00365782329475e+72,-0.7467653151675467,0.7005408225720678,0.0008428403720538214,1283.7694604428955,-2.0170858116220378e+71,4.718183158610466e+71,2.701097346988428e+71,9.00365782329475e+72,-0.7467653151675467,0.7005408225720678,0.0008428403720538214,0.0,0.0,0.0,1283.7694604428955,-2.0170858116220378e+71,4.718183158610466e+71,2.701097346988428e+71,9.00365782329475e+72,-0.7467653151675467,0.7005408225720678,0.0008428403720538214,1283.7694604428955,-2.0170858116220378e+71,4.718183158610466e+71,2.701097346988428e+71,9.00365782329475e+72,-0.7467653151675467,0.7005408225720678,0.0008428403720538214,0.0,0.0,0.0
