,sra_at_63,cf_below_sixty_savings,cf_ret_age,cf_sra_at_ret,cf_working_hours,base_below_sixty_savings,base_ret_age,base_sra_at_ret,base_working_hours,cv
0,67.0,,,,,,,,,
1,67.25,3.6417144329082904,65.44997002976704,67.24685820524022,865.428379813866,3.623386980995836,64.88867678186386,67.0,860.8125900447587,-0.004262955347776706
2,67.5,3.656512370484121,65.47941385255045,67.49143088936214,867.4194760592766,3.623386980995836,64.88867678186386,67.0,860.8125900447587,-0.004705563457057156
3,67.75,3.669688837379881,65.50329239718833,67.7358229983033,868.9840214748747,3.623386980995836,64.88867678186386,67.0,860.8125900447587,-0.005325021436822659
4,68.0,3.6834035313897284,65.53031313131314,67.98111868686868,870.6534056832164,3.623386980995836,64.88867678186386,67.0,860.8125900447587,-0.005678898154913078
5,68.25,3.6954740743896553,66.10259026360721,68.22483654687045,875.9464274109181,3.623386980995836,64.88867678186386,67.0,860.8125900447587,-0.00986117066323686
6,68.5,3.706213970765663,66.12398298048983,68.46953092569531,877.3455678637032,3.623386980995836,64.88867678186386,67.0,860.8125900447587,-0.010378109041867532
7,68.75,3.718533876957769,66.14614892475338,68.71514735625541,878.788261461229,3.623386980995836,64.88867678186386,67.0,860.8125900447587,-0.011036255736495101
8,69.0,3.7293131021689834,66.165679557555,68.96064375335342,880.0162399674196,3.623386980995836,64.88867678186386,67.0,860.8125900447587,-0.011380809578674695
9,69.25,3.7393983161919513,66.73613927969087,69.2024375013343,885.8072232871463,3.623386980995836,64.88867678186386,67.0,860.8125900447587,-0.015464448929463205
10,69.5,3.7493557756913143,66.75326925939314,69.44719481596462,887.2335969725962,3.623386980995836,64.88867678186386,67.0,860.8125900447587,-0.015933153041488027
11,69.75,3.76011853998917,66.77247933360114,69.6928317723419,888.475875723119,3.623386980995836,64.88867678186386,67.0,860.8125900447587,-0.016577935815501627
12,70.0,3.771777349676332,66.7878640571501,69.93792006594242,889.6209988708384,3.623386980995836,64.88867678186386,67.0,860.8125900447587,-0.01687906566598811
