,sra_at_63,cf_below_sixty_savings,cf_ret_age,cf_sra_at_ret,cf_working_hours,base_below_sixty_savings,base_ret_age,base_sra_at_ret,base_working_hours,cv
0,67.0,,,,,,,,,
1,67.25,0.5623765129050178,65.0140128581237,67.25,911.3737671924819,0.5870341057856976,64.28467307808626,67.0,897.9244705273206,-0.0034796349024886733
2,67.5,0.5641805505951322,65.01037175882537,67.5,911.1125218308289,0.5870341057856976,64.28467307808626,67.0,897.9244705273206,-0.0035959363791862125
3,67.75,0.5659967145802053,65.00894225057061,67.75,910.8954648392765,0.5870341057856976,64.28467307808626,67.0,897.9244705273206,-0.0036863583906280384
4,68.0,0.5678043592670667,65.00563256876428,68.0,910.6971186165866,0.5870341057856976,64.28467307808626,67.0,897.9244705273206,-0.003776001317978613
5,68.25,0.5462124039194226,65.70564594542037,68.25,922.7157914432267,0.5870341057856976,64.28467307808626,67.0,897.9244705273206,-0.007186266750877361
6,68.5,0.5479281789202681,65.7036496350365,68.5,922.4828673092827,0.5870341057856976,64.28467307808626,67.0,897.9244705273206,-0.007268372958849191
7,68.75,0.5496466848619375,65.69956496331407,68.75,922.2071347268202,0.5870341057856976,64.28467307808626,67.0,897.9244705273206,-0.007373328046321677
8,69.0,0.5513011188900097,65.69669201273803,69.0,921.9056302211975,0.5870341057856976,64.28467307808626,67.0,897.9244705273206,-0.007453658915376209
9,69.25,0.5324989350388737,66.37697006513449,69.25,932.7910434106474,0.5870341057856976,64.28467307808626,67.0,897.9244705273206,-0.010782082793297445
10,69.5,0.534024553666699,66.3752491638231,69.5,932.6040556822759,0.5870341057856976,64.28467307808626,67.0,897.9244705273206,-0.010834683091090619
11,69.75,0.535555516414079,66.37143243608818,69.75,932.3140774382663,0.5870341057856976,64.28467307808626,67.0,897.9244705273206,-0.010923365310602054
12,70.0,0.5370954209703717,66.36935991605456,70.0,932.0746886976049,0.5870341057856976,64.28467307808626,67.0,897.9244705273206,-0.01098622375147387
