,sra_at_63,cf_below_sixty_savings,cf_ret_age,cf_sra_at_ret,cf_working_hours,base_below_sixty_savings,base_ret_age,base_sra_at_ret,base_working_hours,cv
0,67.0,,,,,,,,,
1,67.25,0.6441613020259195,65.02938082212744,67.25,952.629397855049,0.6680858349996571,64.31215156427146,67.0,938.4203980341346,-0.0022290640361439184
2,67.5,0.6461285798490902,65.02699364179561,67.5,952.3768180096548,0.6680858349996571,64.31215156427146,67.0,938.4203980341346,-0.0023983165817211124
3,67.75,0.648083378519318,65.02427147239264,67.75,952.1171282967855,0.6680858349996571,64.31215156427146,67.0,938.4203980341346,-0.0025673264073986395
4,68.0,0.6500129560958426,65.02270110531164,68.0,951.8835903004422,0.6680858349996571,64.31215156427146,67.0,938.4203980341346,-0.002737068661987294
5,68.25,0.627670879000417,65.72599621238139,68.25,965.1663641383469,0.6680858349996571,64.31215156427146,67.0,938.4203980341346,-0.00494842513378146
6,68.5,0.6294814469822796,65.72424191821459,68.5,964.9754836368086,0.6680858349996571,64.31215156427146,67.0,938.4203980341346,-0.005097839773988384
7,68.75,0.6312313043998438,65.72242594649862,68.75,964.7821719263482,0.6680858349996571,64.31215156427146,67.0,938.4203980341346,-0.005249904923321266
8,69.0,0.6329664138826635,65.72181487131539,69.0,964.6282391623262,0.6680858349996571,64.31215156427146,67.0,938.4203980341346,-0.00539444525782467
9,69.25,0.6125865039894544,66.4154452531199,69.25,977.503859429963,0.6680858349996571,64.31215156427146,67.0,938.4203980341346,-0.007551885190747127
10,69.5,0.6141152234763811,66.41622183429027,69.5,977.3727847194388,0.6680858349996571,64.31215156427146,67.0,938.4203980341346,-0.007685471873176376
11,69.75,0.6156113085003461,66.41796863164912,69.75,977.327400149161,0.6680858349996571,64.31215156427146,67.0,938.4203980341346,-0.007814845312191827
12,70.0,0.617021566376903,66.41824541539457,70.0,977.1615844279708,0.6680858349996571,64.31215156427146,67.0,938.4203980341346,-0.007942889187822945
