,working_hours_67.0_base,savings_67.0_base,consumption_67.0_base,income_67.0_base,assets_67.0_base,savings_rate_67.0_base,employment_rate_67.0_base,retirement_rate_67.0_base,working_hours_67.0_cf,savings_67.0_cf,consumption_67.0_cf,income_67.0_cf,assets_67.0_cf,savings_rate_67.0_cf,employment_rate_67.0_cf,retirement_rate_67.0_cf,savings_rate_diff_67.0,employment_rate_diff_67.0,retirement_rate_diff_67.0,working_hours_68.0_base,savings_68.0_base,consumption_68.0_base,income_68.0_base,assets_68.0_base,savings_rate_68.0_base,employment_rate_68.0_base,retirement_rate_68.0_base,working_hours_68.0_cf,savings_68.0_cf,consumption_68.0_cf,income_68.0_cf,assets_68.0_cf,savings_rate_68.0_cf,employment_rate_68.0_cf,retirement_rate_68.0_cf,savings_rate_diff_68.0,employment_rate_diff_68.0,retirement_rate_diff_68.0,working_hours_69.0_base,savings_69.0_base,consumption_69.0_base,income_69.0_base,assets_69.0_base,savings_rate_69.0_base,employment_rate_69.0_base,retirement_rate_69.0_base,working_hours_69.0_cf,savings_69.0_cf,consumption_69.0_cf,income_69.0_cf,assets_69.0_cf,savings_rate_69.0_cf,employment_rate_69.0_cf,retirement_rate_69.0_cf,savings_rate_diff_69.0,employment_rate_diff_69.0,retirement_rate_diff_69.0,working_hours_70.0_base,savings_70.0_base,consumption_70.0_base,income_70.0_base,assets_70.0_base,savings_rate_70.0_base,employment_rate_70.0_base,retirement_rate_70.0_base,working_hours_70.0_cf,savings_70.0_cf,consumption_70.0_cf,income_70.0_cf,assets_70.0_cf,savings_rate_70.0_cf,employment_rate_70.0_cf,retirement_rate_70.0_cf,savings_rate_diff_70.0,employment_rate_diff_70.0,retirement_rate_diff_70.0
30,1158.48614272775,-1.483473346140889e+71,4.642957291640834e+71,3.1594839454999453e+71,1.0531613151666484e+73,-0.4695302687813308,0.63525,0.0,1158.1279369097676,-1.521230668980905e+71,4.67961488663116e+71,3.1583842176502553e+71,1.0527947392167453e+73,-0.4816483885904976,0.63493,0.0,-0.012118119809166772,-0.00031999999999998696,0.0,1158.48614272775,-1.483473346140889e+71,4.642957291640834e+71,3.1594839454999453e+71,1.0531613151666484e+73,-0.4695302687813308,0.63525,0.0,1158.491391196451,-1.4990030257144444e+71,4.658034650450098e+71,3.159031624735654e+71,1.0530105415785559e+73,-0.47451345975046394,0.63526,0.0,-0.004983190969133133,1.0000000000065512e-05,0.0,1158.48614272775,-1.483473346140889e+71,4.642957291640834e+71,3.1594839454999453e+71,1.0531613151666484e+73,-0.4695302687813308,0.63525,0.0,1158.451329572521,-1.47754599023603e+71,4.637202577170097e+71,3.159656586934066e+71,1.0532188623113558e+73,-0.46762866456628077,0.63526,0.0,0.0019016042150500345,1.0000000000065512e-05,0.0,1158.48614272775,-1.483473346140889e+71,4.642957291640834e+71,3.1594839454999453e+71,1.0531613151666484e+73,-0.4695302687813308,0.63525,0.0,1159.4330730876604,-1.4571038213559808e+71,4.617355811267123e+71,3.1602519899111415e+71,1.0534173299703856e+73,-0.46107203666279506,0.63607,0.0,0.008458232118535747,0.0008200000000000429,0.0
31,1171.1783424607243,-1.5436882551623702e+71,4.657925648794977e+71,3.1151225676889494e+71,1.0381768981336982e+73,-0.4955465544675513,0.64188,0.00022,1170.8692397932293,-1.581737394220322e+71,4.693759813878804e+71,3.112914403500049e+71,1.03744098325446e+73,-0.5081210689384436,0.64164,0.00022,-0.01257451447089225,-0.00024000000000001798,0.0,1171.1783424607243,-1.5436882551623702e+71,4.657925648794977e+71,3.1151225676889494e+71,1.0381768981336982e+73,-0.4955465544675513,0.64188,0.00022,1171.1588548008701,-1.5588740779157183e+71,4.672198909298894e+71,3.1142594580903776e+71,1.0378788687329234e+73,-0.5005601167449288,0.64187,0.00022,-0.005013562277377537,-9.99999999995449e-06,0.0,1171.1783424607243,-1.5436882551623702e+71,4.657925648794977e+71,3.1151225676889494e+71,1.0381768981336982e+73,-0.4955465544675513,0.64188,0.00022,1170.9658879488618,-1.53671070481766e+71,4.651295417584205e+71,3.115561689969451e+71,1.0383024740048545e+73,-0.4932371295247015,0.64179,0.00022,0.0023094249428498026,-9.00000000000345e-05,0.0,1171.1704529955953,-1.5384023878060055e+71,4.652779777857643e+71,3.11530813215563e+71,1.0382283568430716e+73,-0.49382029723702214,0.64188,0.00022,1171.1536842686291,-1.515887166394959e+71,4.631678038542231e+71,3.11676372883527e+71,1.0387030694840747e+73,-0.4863657621431072,0.64203,0.00022,0.007454535093914916,0.00014999999999998348,0.0
32,1185.1574195543428,-2.208231690752429e+71,5.258615652150075e+71,3.051646609972507e+71,1.0169713512079086e+73,-0.7236197282923017,0.6519134209526096,0.0002900638140390886,1185.0437051987928,-2.249189650355046e+71,5.296162885322308e+71,3.048244899025206e+71,1.0158377197555644e+73,-0.7378638281570852,0.6518133989477685,0.0002900638140390886,-0.014244099864783477,-0.00010002200484116042,0.0,1185.1574195543428,-2.208231690752429e+71,5.258615652150075e+71,3.051646609972507e+71,1.0169713512079086e+73,-0.7236197282923017,0.6519134209526096,0.0002900638140390886,1185.12100862753,-2.223895780082394e+71,5.272925570235457e+71,3.050295874688805e+71,1.0165212141959341e+73,-0.7290754311855989,0.6518834143511573,0.0002900638140390886,-0.005455702893297221,-3.0006601452359227e-05,0.0,1185.1699637097736,-2.2022262428295092e+71,5.252786519821673e+71,3.0518215259314334e+71,1.0170296425311928e+73,-0.7216104297440451,0.6519234231530937,0.0002900638140390886,1185.1140853966238,-2.1995456667577288e+71,5.250561454030601e+71,3.0522765019505913e+71,1.0171812647981484e+73,-0.7206246437215255,0.6518534077497049,0.0002900638140390886,0.0009857860225196413,-7.001540338880119e-05,0.0,1185.1494036617635,-2.2023353883334796e+71,5.253046870991167e+71,3.0519727941099935e+71,1.0170800531532617e+73,-0.7216104260771163,0.6519134209526096,0.0002900638140390886,1185.1991627295495,-2.1761536986002964e+71,5.2290160432681275e+71,3.054222541733672e+71,1.0178094230442807e+73,-0.7125065933686167,0.6519634319550301,0.0002900638140390886,0.009103832708499682,5.00110024205247e-05,0.0
33,1218.0210669514693,-2.259482148694416e+71,5.244900613436955e+71,2.9867831897402813e+71,9.953354099537976e+72,-0.7564935266998377,0.6609570881149386,0.0003401734884791244,1217.9352401870844,-2.3000874715563397e+71,5.280911120755142e+71,2.9821977441433057e+71,9.938073256962041e+72,-0.7712726213657185,0.6609170677045293,0.0003401734884791244,-0.014779094665880788,-4.002041040929161e-05,0.0,1218.0210669514693,-2.259482148694416e+71,5.244900613436955e+71,2.9867831897402813e+71,9.953354099537976e+72,-0.7564935266998377,0.6609570881149386,0.0003401734884791244,1217.9665387718355,-2.274413856674464e+71,5.257998657443165e+71,2.985058204381639e+71,9.947406538668688e+72,-0.7619328337839273,0.6609170677045293,0.0003401734884791244,-0.005439307084089573,-4.002041040929161e-05,0.0,1217.9416115236602,-2.2534061821857286e+71,5.23913429827095e+71,2.9871962335014957e+71,9.954531305889428e+72,-0.7543549221553343,0.6609170677045293,0.0003401734884791244,1217.7106234174234,-2.2496530718273275e+71,5.235946521369642e+71,2.9877606736753625e+71,9.956412246056011e+72,-0.752956249691827,0.6607970064733014,0.0003401734884791244,0.0013986724635073333,-0.00012006123122787482,0.0,1217.9416115236602,-2.253517869913842e+71,5.239393978327052e+71,2.9873442985973883e+71,9.95502471794449e+72,-0.7543549201784037,0.6609170677045293,0.0003401734884791244,1217.7687413705933,-2.2258179307046797e+71,5.214697111935315e+71,2.990340450824957e+71,9.965009094200692e+72,-0.74433596017157,0.6607769962680967,0.0003401734884791244,0.010018960006833666,-0.00014007143643257614,0.0
34,1230.2755800867787,-2.3000997212944225e+71,5.219368959062564e+71,2.9210459374868883e+71,9.73350645655897e+72,-0.7874233307242354,0.669218836010609,0.00036030626032127307,1230.2485922709968,-2.340235622244371e+71,5.253736780429006e+71,2.915289556884433e+71,9.714325050665527e+72,-0.8027455168965715,0.6692088275033778,0.00036030626032127307,-0.01532218617233605,-1.0008507231207275e-05,0.0,1230.2796419389883,-2.2936003728085305e+71,5.213061059230042e+71,2.921235238899098e+71,9.73413724654222e+72,-0.7851474411464723,0.6692288445178401,0.00036030626032127307,1230.230778296888,-2.314126271583983e+71,5.231197459561979e+71,2.9188519141784254e+71,9.726195534205927e+72,-0.7928207184280346,0.6691888104889155,0.00036030626032127307,-0.007673277281562307,-4.003402892460706e-05,0.0,1230.2478078233435,-2.293872064558111e+71,5.213678029949375e+71,2.9215807278888186e+71,9.735288484620665e+72,-0.7851475889956667,0.6692088275033778,0.00036030626032127307,1230.0864370662705,-2.2889904613936983e+71,5.209504696244327e+71,2.922287576724182e+71,9.73764384562837e+72,-0.783287202678254,0.6691087424310664,0.00036030626032127307,0.0018603863174126989,-0.00010008507231140662,0.0,1230.2272348114839,-2.287474704302526e+71,5.20761718810888e+71,2.9219151831625447e+71,9.736402956161328e+72,-0.7828682767672503,0.6691988189961467,0.00036030626032127307,1229.9206266431665,-2.264790128010536e+71,5.188597154263712e+71,2.925573251093184e+71,9.748592366592876e+72,-0.7741355056361223,0.6689986488515238,0.00036030626032127307,0.008732771131128025,-0.00020017014462292426,0.0
35,1243.4182611020021,-2.341508226787046e+71,5.193366398248899e+71,2.854251116222798e+71,9.509788567028423e+72,-0.8203581715282656,0.6771093022557294,0.0005006057329368536,1243.443952115519,-2.381077365409818e+71,5.226008848756208e+71,2.8473394687524453e+71,9.486760352825631e+72,-0.8362463947627156,0.6771293264850469,0.0005006057329368536,-0.01588822323444994,2.0024229317461284e-05,0.0,1243.386146456571,-2.334926569139549e+71,5.187145990859769e+71,2.8546614829988715e+71,9.51106055563037e+72,-0.8179346598696067,0.677089278026412,0.0005006057329368536,1243.3104272723335,-2.3546265072761604e+71,5.203879771763159e+71,2.851703203877904e+71,9.501204265479204e+72,-0.8256912935659674,0.6770392174531182,0.0005006057329368536,-0.007756633696360704,-5.006057329370872e-05,0.0,1243.3662850944293,-2.335203063753254e+71,5.187759801819861e+71,2.854999088321891e+71,9.512185377151386e+72,-0.8179347843945679,0.6770792659117533,0.0005006057329368536,1243.137779844531,-2.3291603222909254e+71,5.182580045631285e+71,2.8559115729881685e+71,9.515130249034098e+72,-0.8155575768944071,0.6769491084211896,0.0005006057329368536,0.002377207500160794,-0.00013015749056366488,0.0,1243.358633238629,-2.328697416341537e+71,5.18178107344791e+71,2.855523192630574e+71,9.513931569422144e+72,-0.8155063920865189,0.6770792659117533,0.0005006057329368536,1242.9034822043413,-2.3046369249491073e+71,5.162045702162522e+71,2.859942486913965e+71,9.52846472460419e+72,-0.8058333115068818,0.6768089388159674,0.0005006057329368536,0.009673080579637117,-0.00027032709578589387,0.0
36,1253.0712124614538,-2.376966036151714e+71,5.161290407063741e+71,2.7861345515265645e+71,9.283859113585656e+72,-0.8531411502898664,0.6827274639633774,0.00045077081809894923,1253.0278706537204,-2.4158589649079776e+71,5.192125368978107e+71,2.778087399199238e+71,9.257044676920493e+72,-0.8696122971524691,0.6826974125755041,0.00045077081809894923,-0.01647114686260276,-3.0051387873264446e-05,0.0,1252.9627200389323,-2.3702635470637026e+71,5.155167205256313e+71,2.786711691262574e+71,9.285782238222629e+72,-0.8505593005890784,0.682677378316922,0.00045077081809894923,1252.8880620957177,-2.3890763688071547e+71,5.170444074409952e+71,2.783232926476795e+71,9.274097487767322e+72,-0.8583817567261285,0.6826072584118843,0.00045077081809894923,-0.007822456137050127,-7.011990503769105e-05,0.0,1252.9023647848726,-2.363504195302493e+71,5.148944644088254e+71,2.787246299463588e+71,9.287563640781433e+72,-0.847971058660067,0.6826473269290487,0.00045077081809894923,1252.5893869247866,-2.363263207685271e+71,5.14957167800442e+71,2.788166161544067e+71,9.290535674635873e+72,-0.8476048666972245,0.6824670186018091,0.00045077081809894923,0.0003661919628424881,-0.00018030832723958667,0.0,1252.8745685963786,-2.35694330719249e+71,5.143078280970691e+71,2.78799032253127e+71,9.28994975596151e+72,-0.8453914951371051,0.6826373097997576,0.00045077081809894923,1252.458654253109,-2.338424812468543e+71,5.129445031669608e+71,2.7929220697118452e+71,9.306289728124588e+72,-0.8372681922735516,0.6823468130503161,0.00045077081809894923,0.00812330286355345,-0.0002904967494414823,0.0
37,1258.7764353238108,-2.4081113447180564e+71,5.123659607156845e+71,2.7171405298174326e+71,9.054321309724933e+72,-0.8862667640086543,0.6871843181271546,0.0005311472781207408,1258.7483141501286,-2.446228939705847e+71,5.15260752502723e+71,2.7079798487748714e+71,9.02379519277773e+72,-0.9033408948048692,0.6871542531868837,0.0005311472781207408,-0.017074130796214892,-3.0064940270913e-05,0.0,1258.6717114232117,-2.401366361563704e+71,5.117643582426719e+71,2.717970258909953e+71,9.05690462387182e+72,-0.8835145836094529,0.6871241882466127,0.0005311472781207408,1258.5270901774093,-2.419334763662318e+71,5.131411080960006e+71,2.7141341497812307e+71,9.043487153444064e+72,-0.8913836347615041,0.6870239717790427,0.0005311472781207408,-0.007869051152051165,-0.00010021646756996905,0.0,1258.6067669608135,-2.394559617208159e+71,5.111525343108373e+71,2.71875926154477e+71,9.059352119906639e+72,-0.880754560022205,0.6870841016595847,0.0005311472781207408,1258.3813639236796,-2.393364760922747e+71,5.111001552252376e+71,2.719994028003751e+71,9.062467074381928e+72,-0.8799154469759176,0.6869237553114728,0.0005311472781207408,0.0008391130462873653,-0.00016034634811190607,0.0,1258.582550193003,-2.387973429261194e+71,5.105756448547435e+71,2.7197793549571357e+71,9.062387816356652e+72,-0.8780026309519615,0.6870640583660708,0.0005311472781207408,1258.2443235850997,-2.368255009875328e+71,5.091316653885312e+71,2.72551194479793e+71,9.080669557122271e+72,-0.8689211633783211,0.6868435821374168,0.0005311472781207408,0.009081467573640367,-0.0002204762286539541,0.0
38,1270.1397872548523,-2.4351556889346666e+71,5.081613146420312e+71,2.647221870390258e+71,8.822745720248629e+72,-0.9198910435775721,0.693405260149803,0.00047126771014027735,1270.063485572303,-2.4723990751462515e+71,5.108603633558437e+71,2.636973031420562e+71,8.788588061924331e+72,-0.9375898219991832,0.6933551252870221,0.00047126771014027735,-0.01769877842161105,-5.013486278082624e-05,0.0,1270.07141522302,-2.428400393036283e+71,5.075712797770317e+71,2.648330489558732e+71,8.825997982719871e+72,-0.9169551921901204,0.6933551252870221,0.00047126771014027735,1269.881350029746,-2.4453995543675517e+71,5.087924284337462e+71,2.6441067325056615e+71,8.81094949516915e+72,-0.9248490328717529,0.6932448285889041,0.00047126771014027735,-0.007893840681632458,-0.00011029669811801757,0.0,1270.0103024501689,-2.4215298600278186e+71,5.069707633834815e+71,2.649347221349602e+71,8.82912075972114e+72,-0.914010002356078,0.6933250443693536,0.00047126771014027735,1269.712906631753,-2.4192527154385004e+71,5.068008384282392e+71,2.650840013750659e+71,8.832500792826135e+72,-0.912636259785257,0.6931646128084548,0.00047126771014027735,0.0013737425708210127,-0.0001604315608988438,0.0,1270.0225300753193,-2.4149025892643755e+71,5.064045013784575e+71,2.650615387002394e+71,8.832815450726225e+72,-0.9110724253341832,0.6933350713419097,0.00047126771014027735,1269.5177032647155,-2.3938488036448378e+71,5.048794874646862e+71,2.657073180158853e+71,8.853180664549485e+72,-0.9009344648541903,0.6930442891377806,0.00047126771014027735,0.010137960479992936,-0.00029078220412914746,0.0
39,1277.9496437942666,-2.4619539321411517e+71,5.038318202804643e+71,2.5763642706634904e+71,8.587880902211607e+72,-0.9555923283733186,0.6980257614060431,0.0005718069098350788,1277.8101450428344,-2.4982286450185307e+71,5.063284241652115e+71,2.565055596633583e+71,8.55018532211191e+72,-0.9739471722551523,0.6979354761044901,0.0005718069098350788,-0.018354843881833616,-9.028530155297254e-05,0.0,1277.8936986354224,-2.454998556655093e+71,5.032541549834649e+71,2.577542993179556e+71,8.591809977265185e+72,-0.952456879730531,0.6979856346053529,0.0005718069098350788,1277.7198236677211,-2.471126539903741e+71,5.043153624556761e+71,2.573140341257747e+71,8.57524151954942e+72,-0.960354357778969,0.6978752859034549,0.0005718069098350788,-0.0078974780484381,-0.00011034870189796653,0.0,1277.8447904388677,-2.4480710036206598e+71,5.026657672902897e+71,2.5787883810668643e+71,8.595616341798247e+72,-0.9493105450583247,0.6979655712050078,0.0005718069098350788,1277.4727086118792,-2.4448761498488745e+71,5.023760880769336e+71,2.580800542026469e+71,8.599389096570789e+72,-0.9473324691450717,0.697764937201557,0.0005718069098350788,0.0019780759132529413,-0.00020063400345082805,0.0,1277.7598053161971,-2.433824387216239e+71,5.013508814583266e+71,2.5807911399949174e+71,8.600738553635252e+72,-0.9430536045706636,0.6979354761044901,0.0005718069098350788,1277.2735949463724,-2.419537019011353e+71,5.005046135912786e+71,2.588121353924352e+71,8.622570881792837e+72,-0.934862275813545,0.6976545884996589,0.0005718069098350788,0.008191328757118588,-0.0002808876048312481,0.0
