,sra_at_63,cf_below_sixty_savings,cf_ret_age,cf_sra_at_ret,cf_working_hours,base_below_sixty_savings,base_ret_age,base_sra_at_ret,base_working_hours,cv
0,67.0,,,,,,,,,
1,67.25,-2.1861599958505253e+71,67.99667375661855,67.25,881.6841003978791,-2.1921075670827827e+71,67.51014671988307,67.0,878.8154159963167,-0.0027685911923744943
2,67.5,-2.1813437219383782e+71,68.02334872561003,67.5,882.8112171330116,-2.1921075670827827e+71,67.51014671988307,67.0,878.8154159963167,-0.0033722602039819192
3,67.75,-2.17656709043809e+71,68.05143387639114,67.75,883.7966686604626,-2.1921075670827827e+71,67.51014671988307,67.0,878.8154159963167,-0.004025821348207689
4,68.0,-2.171343081166422e+71,68.07807403044582,68.0,884.574126842283,-2.1921075670827827e+71,67.51014671988307,67.0,878.8154159963167,-0.004594157148385813
5,68.25,-2.1664943740643806e+71,68.58757113693646,68.25,888.1765414306294,-2.1921075670827827e+71,67.51014671988307,67.0,878.8154159963167,-0.007447700094230792
6,68.5,-2.161770858954913e+71,68.61126702717503,68.5,888.9787812976215,-2.1921075670827827e+71,67.51014671988307,67.0,878.8154159963167,-0.0081130991881741
7,68.75,-2.1567313771813264e+71,68.6314053924533,68.75,889.3977799826412,-2.1921075670827827e+71,67.51014671988307,67.0,878.8154159963167,-0.008653238032114602
8,69.0,-2.1516424528416429e+71,68.65694230439993,69.0,890.3498360417598,-2.1921075670827827e+71,67.51014671988307,67.0,878.8154159963167,-0.009287123550892132
9,69.25,-2.1473894096729936e+71,69.1866631390052,69.25,894.035282697696,-2.1921075670827827e+71,67.51014671988307,67.0,878.8154159963167,-0.012345247173778934
10,69.5,-2.1426282636995472e+71,69.20924666597627,69.5,894.8180536957775,-2.1921075670827827e+71,67.51014671988307,67.0,878.8154159963167,-0.012892829251044537
11,69.75,-2.1377714864307668e+71,69.23206105112916,69.75,895.6788894309365,-2.1921075670827827e+71,67.51014671988307,67.0,878.8154159963167,-0.013402759156820005
12,70.0,-2.133079621944269e+71,69.25059874723655,70.0,896.1263525677563,-2.1921075670827827e+71,67.51014671988307,67.0,878.8154159963167,-0.013979110251961874
