,sra_at_63,cf_below_sixty_savings,cf_ret_age,cf_sra_at_ret,cf_working_hours,base_below_sixty_savings,base_ret_age,base_sra_at_ret,base_working_hours,cv
0,67.0,,,,,,,,,
1,67.25,0.6275009401291154,65.80303184266197,67.25,978.8627489809313,0.6456314315733294,65.27037026911265,67.0,969.5979752374361,-0.0018004567768184158
2,67.5,0.6289736270972657,65.85589289186412,67.5,979.9522542089986,0.6456314315733294,65.27037026911265,67.0,969.5979752374361,-0.002091224624419519
3,67.75,0.6303339623635179,65.9080373380841,67.75,980.927557373388,0.6456314315733294,65.27037026911265,67.0,969.5979752374361,-0.0024015363637343956
4,68.0,0.6316491908806579,65.95553881635234,68.0,981.8253337803947,0.6456314315733294,65.27037026911265,67.0,969.5979752374361,-0.002717831765296696
5,68.25,0.6146310977604142,66.47883492944976,68.25,990.2898192887149,0.6456314315733294,65.27037026911265,67.0,969.5979752374361,-0.004523915942075593
6,68.5,0.6159621721905097,66.51876035013012,68.5,990.9085890402295,0.6456314315733294,65.27037026911265,67.0,969.5979752374361,-0.0048087932973637
7,68.75,0.6172174912587878,66.55624270822464,68.75,991.3711054426058,0.6456314315733294,65.27037026911265,67.0,969.5979752374361,-0.00509787444249551
8,69.0,0.6184826055986756,66.58675399737628,69.0,991.6901051177897,0.6456314315733294,65.27037026911265,67.0,969.5979752374361,-0.0053786202651593135
9,69.25,0.6033848851445904,67.07252343674494,69.25,999.0664744491374,0.6456314315733294,65.27037026911265,67.0,969.5979752374361,-0.007082998249536536
10,69.5,0.6048538543249569,67.09507335697812,69.5,999.159304706059,0.6456314315733294,65.27037026911265,67.0,969.5979752374361,-0.007280540267721939
11,69.75,0.606327251900921,67.11853887842116,69.75,999.4018705805711,0.6456314315733294,65.27037026911265,67.0,969.5979752374361,-0.0074832053907444695
12,70.0,0.6077180345479346,67.14205236478269,70.0,999.575555811616,0.6456314315733294,65.27037026911265,67.0,969.5979752374361,-0.007686599102900542
