,sra_at_63,cf_below_sixty_savings,cf_ret_age,cf_sra_at_ret,cf_working_hours,base_below_sixty_savings,base_ret_age,base_sra_at_ret,base_working_hours,cv
0,67.0,,,,,,,,,
1,67.25,0.6292598967393299,65.79500268175849,67.2473760380255,977.9019683363933,0.6318530586317344,65.30579298984168,67.0,970.054166231816,-0.00187393794268699
2,67.5,0.6272813942114154,65.85786209006703,67.49284906307659,979.4857400676267,0.6318530586317344,65.30579298984168,67.0,970.054166231816,-0.0021681297589961233
3,67.75,0.6252289750318146,65.91782069632136,67.73805463129915,980.877545362843,0.6318530586317344,65.30579298984168,67.0,970.054166231816,-0.0024812933944231303
4,68.0,0.622863561981369,65.97357378638966,67.98399647526156,982.0340581415783,0.6318530586317344,65.30579298984168,67.0,970.054166231816,-0.0027939615820235185
5,68.25,0.6207520426821682,66.46939180006041,68.22909666641497,989.9365593652071,0.6318530586317344,65.30579298984168,67.0,970.054166231816,-0.004703192874352363
6,68.5,0.6186944590022687,66.51552507095553,68.47456244087039,990.8554036718956,0.6318530586317344,65.30579298984168,67.0,970.054166231816,-0.004991548173017947
7,68.75,0.6164953125004079,66.55849958732959,68.72064585289961,991.5232395818,0.6318530586317344,65.30579298984168,67.0,970.054166231816,-0.005273184656023075
8,69.0,0.6143457134722226,66.5950129385798,68.96679494253749,992.064317941144,0.6318530586317344,65.30579298984168,67.0,970.054166231816,-0.005548348593228137
9,69.25,0.6125816721029216,67.06368584608852,69.2106173637785,999.1869820491199,0.6318530586317344,65.30579298984168,67.0,970.054166231816,-0.007367936359685345
10,69.5,0.6106352969131953,67.09039695676162,69.45596790274027,999.4819168371654,0.6318530586317344,65.30579298984168,67.0,970.054166231816,-0.007551497131273759
11,69.75,0.6087108376288656,67.11798559754654,69.7019570449737,999.8302155807193,0.6318530586317344,65.30579298984168,67.0,970.054166231816,-0.007745871265530618
12,70.0,0.6069216631483343,67.14385114685818,69.9477004447299,1000.109070713803,0.6318530586317344,65.30579298984168,67.0,970.054166231816,-0.007937935025588731
