,alpha,below_sixty_savings,sra_at_ret,ret_age,working_hours,cv,base_below_sixty_savings,base_ret_age,base_sra_at_ret,base_working_hours
0,0.0,2.0832850496324338,67.0,65.9162,990.7247306491015,0.0003039843358822864,2.145661082795071,65.95231,67.0,993.6212210883041
1,0.01,2.109945435392373,67.3464925,66.38286,1000.2464939305954,3.2460522356346875e-05,2.171193163880131,66.35861,67.346035,999.043774192158
2,0.02,2.16241400162856,67.732175,66.45921,1002.4760165410423,4.550457899461825e-05,2.1951948333054006,66.45912,67.732175,1002.7936136115009
3,0.03,2.2353509687075346,68.0937125,66.56097,1002.2716310924143,-6.331130583761111e-05,2.22253708196165,66.54539,68.091045,1004.4640575789853
4,0.0406784942515635,2.2429875439183995,68.5204875,67.00937,1013.9280994523707,-5.930273305428357e-05,2.2511075943773653,66.99844,68.52072,1012.8334003488534
5,0.05,2.2876504643118234,68.84111,67.03496,1014.5906313085037,6.022783653710288e-05,2.273824087709614,67.06197,68.8432,1015.632053899311
6,0.06,2.3593584023265324,69.2280725,67.17386,1015.4283130267248,-0.00014503848119804298,2.2970940802543485,67.18033,69.2296175,1017.7147521502941
7,0.07,2.366308568572965,69.61835,67.59942,1026.2070445488198,-1.63984666433474e-05,2.320950896135292,67.61351,69.6197725,1025.7636639860418
8,0.08,2.431609946862541,70.0190375,67.77164,1028.0655205666326,-0.0003148039539416344,2.346556204093791,67.72493,70.0146525,1027.8828073836687
9,0.09,2.445125332077394,70.424105,68.18106,1038.0360950000747,-0.00017981106622686394,2.3694026900877625,68.1769,70.4242575,1035.659950214506
10,0.1,2.50490710247467,70.8230525,68.21857,1038.5228451075122,-0.00014065864212526376,2.3946129519320847,68.25713,70.826075,1039.0968517089443
