,sra_at_63,cf_below_sixty_savings,cf_ret_age,cf_sra_at_ret,cf_working_hours,base_below_sixty_savings,base_ret_age,base_sra_at_ret,base_working_hours,cv
0,67.0,,,,,,,,,
1,67.25,3.414177679606517,65.20483164831197,67.25,823.0588049037752,3.3898408288642505,64.53653193358421,67.0,815.4981779753857,-0.004015326384513108
2,67.5,3.431326977419685,65.20279964807003,67.5,823.1015397423945,3.3898408288642505,64.53653193358421,67.0,815.4981779753857,-0.004311943919381314
3,67.75,3.4500356883630294,65.19982420158219,67.75,823.3693103513592,3.3898408288642505,64.53653193358421,67.0,815.4981779753857,-0.0045876213467290206
4,68.0,3.467764269156328,65.19689615172368,68.0,823.5171307850392,3.3898408288642505,64.53653193358421,67.0,815.4981779753857,-0.00490656884929455
5,68.25,3.4842930509568752,65.84290594076839,68.25,830.5215792031369,3.3898408288642505,64.53653193358421,67.0,815.4981779753857,-0.008834666175098545
6,68.5,3.5027690875151807,65.8403537788413,68.5,830.8151055759377,3.3898408288642505,64.53653193358421,67.0,815.4981779753857,-0.009084846498626509
7,68.75,3.5184315994891473,65.83758629986052,68.75,830.9144200236109,3.3898408288642505,64.53653193358421,67.0,815.4981779753857,-0.009415981263733763
8,69.0,3.534337681647232,65.83406348834485,69.0,831.1254675379937,3.3898408288642505,64.53653193358421,67.0,815.4981779753857,-0.009748267773887926
9,69.25,3.5474422355115176,66.46810151687663,69.25,837.5105705417243,3.3898408288642505,64.53653193358421,67.0,815.4981779753857,-0.013409555322014802
10,69.5,3.564316886464013,66.46605919765166,69.5,837.8792072825207,3.3898408288642505,64.53653193358421,67.0,815.4981779753857,-0.013667465655638542
11,69.75,3.5790507765030384,66.46432019553926,69.75,838.1420067421653,3.3898408288642505,64.53653193358421,67.0,815.4981779753857,-0.013993036003235211
12,70.0,3.595022623553933,66.46217697537872,70.0,838.7152892104411,3.3898408288642505,64.53653193358421,67.0,815.4981779753857,-0.014257906306457875
