,alpha,below_sixty_savings,sra_at_ret,ret_age,working_hours,cv,sra_at_63,base_below_sixty_savings,base_ret_age,base_sra_at_ret,base_working_hours
0,,,,,,,67.0,,,,
1,,2.191835849253062,67.2477125,66.36493,997.5844963286152,-0.0034561395902987582,67.25,2.166658505136774,65.91686,67.0,997.5844963286152
2,,2.211826332167089,67.493525,66.40383,999.5940631356618,-0.004027292816707851,67.5,2.166658505136774,65.91686,67.0,999.5940631356618
3,,2.231195426422157,67.7393775,66.4386,1001.3263348938606,-0.004633259876735163,67.75,2.166658505136774,65.91686,67.0,1001.3263348938606
4,,2.251597814944046,67.9858275,66.4745,1003.1749361804598,-0.00526675082332984,68.0,2.166658505136774,65.91686,67.0,1003.1749361804598
5,,2.270636976964874,68.23163,66.96403,1010.2016430903783,-0.009112890564067035,68.25,2.166658505136774,65.91686,67.0,1010.2016430903783
6,,2.2898385458857358,68.4774925,66.99758,1011.9124196761611,-0.009644850175938266,68.5,2.166658505136774,65.91686,67.0,1011.9124196761611
7,,2.310891556898999,68.7241625,67.02769,1013.372125938098,-0.010205280246542681,68.75,2.166658505136774,65.91686,67.0,1013.372125938098
8,,2.33167569132579,68.970955,67.058,1014.981620249627,-0.010845237891745758,69.0,2.166658505136774,65.91686,67.0,1014.981620249627
9,,2.3481774958175543,69.2158675,67.56456,1022.548089521393,-0.014568291363689749,69.25,2.166658505136774,65.91686,67.0,1022.548089521393
10,,2.3672141349893887,69.4618725,67.59181,1023.9283020452384,-0.015088774832131419,69.5,2.166658505136774,65.91686,67.0,1023.9283020452384
11,,2.3882762985402732,69.708645,67.6188,1025.2589084868926,-0.0156307435791717,69.75,2.166658505136774,65.91686,67.0,1025.2589084868926
12,,2.4083930382100727,69.95521,67.64439,1026.5523264954197,-0.016205295713974596,70.0,2.166658505136774,65.91686,67.0,1026.5523264954197
