,sra_at_63,cf_below_sixty_savings,cf_ret_age,cf_sra_at_ret,cf_working_hours,base_below_sixty_savings,base_ret_age,base_sra_at_ret,base_working_hours,cv
0,67.0,,,,,,,,,
1,67.25,0.5166530811401586,65.68626060591241,67.25,835.6279106469088,0.5435285713604621,64.95288083596971,67.0,820.0359697751006,0.0008227222150831005
2,67.5,0.5195034517178764,65.7033846455055,67.5,835.7411220168445,0.5435285713604621,64.95288083596971,67.0,820.0359697751006,0.0005894896863783338
3,67.75,0.522221813929335,65.71825950684395,67.75,835.7710058753947,0.5435285713604621,64.95288083596971,67.0,820.0359697751006,0.0003151145788006872
4,68.0,0.5249107413284259,65.73490787926303,68.0,835.9250794690694,0.5435285713604621,64.95288083596971,67.0,820.0359697751006,3.577473421632626e-05
5,68.25,0.5001655999386954,66.45099316183654,68.25,850.8051661330107,0.5435285713604621,64.95288083596971,67.0,820.0359697751006,0.0005040066427681998
6,68.5,0.5028885038457999,66.46695582409868,68.5,850.9022565099746,0.5435285713604621,64.95288083596971,67.0,820.0359697751006,0.0002823021179034441
7,68.75,0.5055139708047435,66.48163296030512,68.75,851.0422625362797,0.5435285713604621,64.95288083596971,67.0,820.0359697751006,7.097047227993271e-05
8,69.0,0.5080785390697162,66.49593250979211,69.0,851.1486014001974,0.5435285713604621,64.95288083596971,67.0,820.0359697751006,-0.00018708211539488636
9,69.25,0.4854753574954645,67.20669858922871,69.25,865.4731510220175,0.5435285713604621,64.95288083596971,67.0,820.0359697751006,-0.00016729266033383724
10,69.5,0.487996258304387,67.22228232869655,69.5,865.5933243032902,0.5435285713604621,64.95288083596971,67.0,820.0359697751006,-0.0003636510632124302
11,69.75,0.4904339641105928,67.23663177435157,69.75,865.6966596875966,0.5435285713604621,64.95288083596971,67.0,820.0359697751006,-0.000582302859814501
12,70.0,0.49278341490109656,67.25190248935895,70.0,865.7745832482232,0.5435285713604621,64.95288083596971,67.0,820.0359697751006,-0.0008003860694986791
