,,2013,2014,2015,2016,2017,2018,2019
all,all,-0.15648744040369067,-0.13874086844246633,-0.12183576968862134,-0.10331111536443449,-0.08049958466791596,-0.0531157132866718,-0.020274877011036252
Low Education,Men,-0.14304359592941718,-0.12238446537650216,-0.11375391289465475,-0.09655757762516358,-0.07673620479143811,-0.0459956255078188,-0.024522237506577605
High Education,Men,-0.11037106876231051,-0.0974686297953134,-0.08522969909534361,-0.0685959877304639,-0.05615180809994795,-0.03333963244520692,-0.01326963783640593
Low Education,Women,-0.17831653872917663,-0.16860211273166387,-0.14438554211726692,-0.12026350881071005,-0.09126789659168193,-0.06614212174534467,-0.018036545114236573
High Education,Women,-0.18189674672243078,-0.14942782698962906,-0.12627061529412853,-0.11402388942063112,-0.08789618930660024,-0.05915154415161025,-0.02246250342249585
