,const,high_educ,good_health,above_50,above_55,above_60
Men,-2.974621032539448,-1.2838892223552358,-0.9451970373115735,-0.35305304607247384,0.23392704643068304,0.34816253457742957
Women,-2.7289946104655174,-0.7972751765198713,-0.9427293184988071,-0.38528789187498097,-0.18523275305812686,0.286011183600878
