sex,education,has_partner,age,children
0.0,0.0,0,30.0,0.06976744186046512
0.0,0.0,0,31.0,0.038461538461538464
0.0,0.0,0,32.0,0.06666666666666667
0.0,0.0,0,33.0,0.06382978723404255
0.0,0.0,0,34.0,0.0872093023255814
0.0,0.0,0,35.0,0.13245033112582782
0.0,0.0,0,36.0,0.16793893129770993
0.0,0.0,0,37.0,0.08955223880597014
0.0,0.0,0,38.0,0.17293233082706766
0.0,0.0,0,39.0,0.11678832116788321
0.0,0.0,0,40.0,0.17123287671232876
0.0,0.0,0,41.0,0.2054794520547945
0.0,0.0,0,42.0,0.2611464968152866
0.0,0.0,0,43.0,0.20121951219512196
0.0,0.0,0,44.0,0.22289156626506024
0.0,0.0,0,45.0,0.20855614973262032
0.0,0.0,0,46.0,0.23696682464454977
0.0,0.0,0,47.0,0.22624434389140272
0.0,0.0,0,48.0,0.2072072072072072
0.0,0.0,0,49.0,0.18840579710144928
0.0,0.0,0,50.0,0.16666666666666666
0.0,0.0,0,51.0,0.12385321100917432
0.0,0.0,0,52.0,0.09417040358744394
0.0,0.0,0,53.0,0.12385321100917432
0.0,0.0,0,54.0,0.10344827586206896
0.0,0.0,0,55.0,0.0945273631840796
0.0,0.0,0,56.0,0.09137055837563451
0.0,0.0,0,57.0,0.12631578947368421
0.0,0.0,0,58.0,0.09289617486338798
0.0,0.0,0,59.0,0.09090909090909091
0.0,0.0,0,60.0,0.0893854748603352
0.0,0.0,0,61.0,0.06707317073170732
0.0,0.0,0,62.0,0.05660377358490566
0.0,0.0,0,63.0,0.08227848101265822
0.0,0.0,0,64.0,0.013605442176870748
0.0,0.0,0,65.0,0.015151515151515152
0.0,0.0,0,66.0,0.0
0.0,0.0,0,67.0,0.0
0.0,0.0,0,68.0,0.0423728813559322
0.0,0.0,0,69.0,0.0
0.0,0.0,0,70.0,0.008064516129032258
0.0,0.0,0,71.0,0.008064516129032258
0.0,0.0,0,72.0,0.021897810218978103
0.0,0.0,0,73.0,0.022058823529411766
0.0,0.0,0,74.0,0.0
0.0,0.0,0,75.0,0.006535947712418301
0.0,0.0,0,76.0,0.0
0.0,0.0,0,77.0,0.0070921985815602835
0.0,0.0,0,78.0,0.0
0.0,0.0,0,79.0,0.0
0.0,0.0,0,80.0,0.015384615384615385
0.0,0.0,0,81.0,0.01834862385321101
0.0,0.0,0,82.0,0.0
0.0,0.0,0,83.0,0.012345679012345678
0.0,0.0,0,84.0,0.014285714285714285
0.0,0.0,0,85.0,0.017857142857142856
0.0,0.0,1,30.0,1.671641791044776
0.0,0.0,1,31.0,1.6995515695067265
0.0,0.0,1,32.0,1.7625418060200668
0.0,0.0,1,33.0,1.786096256684492
0.0,0.0,1,34.0,1.8954545454545455
0.0,0.0,1,35.0,1.9024856596558317
0.0,0.0,1,36.0,1.927404718693285
0.0,0.0,1,37.0,1.963949843260188
0.0,0.0,1,38.0,1.997032640949555
0.0,0.0,1,39.0,2.0425824175824174
0.0,0.0,1,40.0,2.0266990291262137
0.0,0.0,1,41.0,1.962148962148962
0.0,0.0,1,42.0,1.900473933649289
0.0,0.0,1,43.0,1.8376168224299065
0.0,0.0,1,44.0,1.760266370699223
0.0,0.0,1,45.0,1.6830601092896176
0.0,0.0,1,46.0,1.5424628450106157
0.0,0.0,1,47.0,1.3959660297239915
0.0,0.0,1,48.0,1.2595338983050848
0.0,0.0,1,49.0,1.1117078410311494
0.0,0.0,1,50.0,0.9634285714285714
0.0,0.0,1,51.0,0.8018867924528302
0.0,0.0,1,52.0,0.6650426309378806
0.0,0.0,1,53.0,0.5231958762886598
0.0,0.0,1,54.0,0.4701195219123506
0.0,0.0,1,55.0,0.38179347826086957
0.0,0.0,1,56.0,0.3582295988934993
0.0,0.0,1,57.0,0.2940320232896652
0.0,0.0,1,58.0,0.2527131782945736
0.0,0.0,1,59.0,0.21405750798722045
0.0,0.0,1,60.0,0.15645161290322582
0.0,0.0,1,61.0,0.11831442463533225
0.0,0.0,1,62.0,0.0704
0.0,0.0,1,63.0,0.07008547008547009
0.0,0.0,1,64.0,0.0375
0.0,0.0,1,65.0,0.04684684684684685
0.0,0.0,1,66.0,0.03019538188277087
0.0,0.0,1,67.0,0.028286189683860232
0.0,0.0,1,68.0,0.01335559265442404
0.0,0.0,1,69.0,0.018575851393188854
0.0,0.0,1,70.0,0.017830609212481426
0.0,0.0,1,71.0,0.015128593040847202
0.0,0.0,1,72.0,0.017001545595054096
0.0,0.0,1,73.0,0.013975155279503106
0.0,0.0,1,74.0,0.012345679012345678
0.0,0.0,1,75.0,0.01309328968903437
0.0,0.0,1,76.0,0.01669449081803005
0.0,0.0,1,77.0,0.014732965009208104
0.0,0.0,1,78.0,0.014583333333333334
0.0,0.0,1,79.0,0.012165450121654502
0.0,0.0,1,80.0,0.0
0.0,0.0,1,81.0,0.009708737864077669
0.0,0.0,1,82.0,0.0
0.0,0.0,1,83.0,0.013761467889908258
0.0,0.0,1,84.0,0.016574585635359115
0.0,0.0,1,85.0,0.0
0.0,1.0,0,30.0,0.0
0.0,1.0,0,31.0,0.008695652173913044
0.0,1.0,0,32.0,0.009615384615384616
0.0,1.0,0,33.0,0.011363636363636364
0.0,1.0,0,34.0,0.03488372093023256
0.0,1.0,0,35.0,0.18666666666666668
0.0,1.0,0,36.0,0.15384615384615385
0.0,1.0,0,37.0,0.12903225806451613
0.0,1.0,0,38.0,0.13114754098360656
0.0,1.0,0,39.0,0.07407407407407407
0.0,1.0,0,40.0,0.12962962962962962
0.0,1.0,0,41.0,0.05357142857142857
0.0,1.0,0,42.0,0.1864406779661017
0.0,1.0,0,43.0,0.2112676056338028
