sex,education,has_partner,const,period,period_sq
0,0,0,0.0532899926906476,0.02110679929839051,-0.0006991233774216381
0,0,1,1.5567085625832386,0.08169819252921398,-0.004717212626054538
0,1,0,0.0017038050436736334,0.022467985988430136,-0.0006859069981190718
0,1,1,0.4713809636098914,0.21205788185746013,-0.007771933813803463
1,0,0,1.3626563623886752,-0.0012034563087939712,-0.0016476866105445405
1,0,1,2.2834777957103833,-0.02375782255630459,-0.0022431719022143583
1,1,0,0.2169935345681727,0.10500919247814222,-0.0040628600380498035
1,1,1,0.9371531946233497,0.17060518759386323,-0.007454254268841899
