sex,education,age_bin,working_hours_p
0,0,30.0,28.912800971998816
0,0,40.0,27.98706388162051
0,0,50.0,30.189997940490464
0,0,60.0,30.199127059440723
0,1,30.0,29.51527149644912
0,1,40.0,25.913382778395302
0,1,50.0,29.08364669547938
0,1,60.0,30.79750957708249
1,0,30.0,39.16679343878019
1,0,40.0,39.04651459508163
1,0,50.0,39.10728072188112
1,0,60.0,37.63161289666289
1,1,30.0,38.48292181096123
1,1,40.0,38.46947069910238
1,1,50.0,38.36452011958733
1,1,60.0,38.25485436893204
