education,sex,choice,annual_hours
0,0,2,1268.0593465202287
0,0,3,2055.55247994027
0,1,2,1196.9726753256618
0,1,3,1985.9191882435869
1,0,2,1387.3497829270675
1,0,3,2043.0860845725942
1,1,2,1219.4732838769535
1,1,3,1983.7329893455642
