education,sex,choice,annual_hours
0,0,2,1274.6062040186184
0,0,3,2054.86358232124
0,1,2,1222.175160375896
0,1,3,1988.8961880303711
1,0,2,1381.8706803716216
1,0,3,2044.753417095294
1,1,2,1251.5630720233391
1,1,3,1985.1307055216948
