combination_id,ft_work_value,pt_work_value,unemployed_value,partner_retired_value,children_value,log_likelihood,disutil_ft_work_good_women,disutil_ft_work_bad_women,disutil_pt_work_good_women,disutil_pt_work_bad_women,disutil_unemployed_good_women,disutil_unemployed_bad_women,disutil_partner_retired_women,disutil_children_ft_work_low,disutil_children_ft_work_high
39,0.1,0.5,0.5,0.5,0.1,87766.31292995566,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.1,0.1
40,0.1,0.5,0.5,0.5,0.5,64383.83186407159,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
41,0.1,0.5,0.5,0.5,0.9,96399.1192320149,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.9,0.9
42,0.1,0.5,0.5,0.9,0.1,90570.54437349233,0.1,0.1,0.5,0.5,0.5,0.5,0.9,0.1,0.1
43,0.1,0.5,0.5,0.9,0.5,67689.48186475312,0.1,0.1,0.5,0.5,0.5,0.5,0.9,0.5,0.5
44,0.1,0.5,0.5,0.9,0.9,99748.7187055308,0.1,0.1,0.5,0.5,0.5,0.5,0.9,0.9,0.9
45,0.1,0.5,0.9,0.1,0.1,100108.84434424769,0.1,0.1,0.5,0.5,0.9,0.9,0.1,0.1,0.1
46,0.1,0.5,0.9,0.1,0.5,76898.06591938404,0.1,0.1,0.5,0.5,0.9,0.9,0.1,0.5,0.5
47,0.1,0.5,0.9,0.1,0.9,108927.9179934652,0.1,0.1,0.5,0.5,0.9,0.9,0.1,0.9,0.9
48,0.1,0.5,0.9,0.5,0.1,101833.32665384843,0.1,0.1,0.5,0.5,0.9,0.9,0.5,0.1,0.1
49,0.1,0.5,0.9,0.5,0.5,78361.16463696527,0.1,0.1,0.5,0.5,0.9,0.9,0.5,0.5,0.5
50,0.1,0.5,0.9,0.5,0.9,110445.1997687119,0.1,0.1,0.5,0.5,0.9,0.9,0.5,0.9,0.9
51,0.1,0.5,0.9,0.9,0.1,103382.5575324004,0.1,0.1,0.5,0.5,0.9,0.9,0.9,0.1,0.1
52,0.1,0.5,0.9,0.9,0.5,80387.54457470373,0.1,0.1,0.5,0.5,0.9,0.9,0.9,0.5,0.5
53,0.1,0.5,0.9,0.9,0.9,112508.28983701397,0.1,0.1,0.5,0.5,0.9,0.9,0.9,0.9,0.9
54,0.1,0.9,0.1,0.1,0.1,138685.78519703634,0.1,0.1,0.9,0.9,0.1,0.1,0.1,0.1,0.1
55,0.1,0.9,0.1,0.1,0.5,152224.02272169938,0.1,0.1,0.9,0.9,0.1,0.1,0.1,0.5,0.5
56,0.1,0.9,0.1,0.1,0.9,188095.61154249334,0.1,0.1,0.9,0.9,0.1,0.1,0.1,0.9,0.9
57,0.1,0.9,0.1,0.5,0.1,142670.16710021015,0.1,0.1,0.9,0.9,0.1,0.1,0.5,0.1,0.1
58,0.1,0.9,0.1,0.5,0.5,156968.1794600471,0.1,0.1,0.9,0.9,0.1,0.1,0.5,0.5,0.5
59,0.1,0.9,0.1,0.5,0.9,192886.8628541635,0.1,0.1,0.9,0.9,0.1,0.1,0.5,0.9,0.9
60,0.1,0.9,0.1,0.9,0.1,146286.67443087144,0.1,0.1,0.9,0.9,0.1,0.1,0.9,0.1,0.1
61,0.1,0.9,0.1,0.9,0.5,160808.63611828582,0.1,0.1,0.9,0.9,0.1,0.1,0.9,0.5,0.5
62,0.1,0.9,0.1,0.9,0.9,196720.72584541468,0.1,0.1,0.9,0.9,0.1,0.1,0.9,0.9,0.9
63,0.1,0.9,0.5,0.1,0.1,145142.0371327783,0.1,0.1,0.9,0.9,0.5,0.5,0.1,0.1,0.1
64,0.1,0.9,0.5,0.1,0.5,96988.12803842558,0.1,0.1,0.9,0.9,0.5,0.5,0.1,0.5,0.5
65,0.1,0.9,0.5,0.1,0.9,115831.57728414817,0.1,0.1,0.9,0.9,0.5,0.5,0.1,0.9,0.9
66,0.1,0.9,0.5,0.5,0.1,147284.1765797014,0.1,0.1,0.9,0.9,0.5,0.5,0.5,0.1,0.1
67,0.1,0.9,0.5,0.5,0.5,99006.01626913958,0.1,0.1,0.9,0.9,0.5,0.5,0.5,0.5,0.5
68,0.1,0.9,0.5,0.5,0.9,117811.84726175225,0.1,0.1,0.9,0.9,0.5,0.5,0.5,0.9,0.9
69,0.1,0.9,0.5,0.9,0.1,150079.9221413988,0.1,0.1,0.9,0.9,0.5,0.5,0.9,0.1,0.1
70,0.1,0.9,0.5,0.9,0.5,101904.24946106586,0.1,0.1,0.9,0.9,0.5,0.5,0.9,0.5,0.5
71,0.1,0.9,0.5,0.9,0.9,120568.53332009785,0.1,0.1,0.9,0.9,0.5,0.5,0.9,0.9,0.9
72,0.1,0.9,0.9,0.1,0.1,159630.76960544358,0.1,0.1,0.9,0.9,0.9,0.9,0.1,0.1,0.1
73,0.1,0.9,0.9,0.1,0.5,88510.39139090673,0.1,0.1,0.9,0.9,0.9,0.9,0.1,0.5,0.5
74,0.1,0.9,0.9,0.1,0.9,91906.04272277876,0.1,0.1,0.9,0.9,0.9,0.9,0.1,0.9,0.9
75,0.1,0.9,0.9,0.5,0.1,161341.4767927393,0.1,0.1,0.9,0.9,0.9,0.9,0.5,0.1,0.1
76,0.1,0.9,0.9,0.5,0.5,90191.10899060256,0.1,0.1,0.9,0.9,0.9,0.9,0.5,0.5,0.5
