sex,education,has_partner,const,period,period_sq
0,0,0,0.05293757364108501,0.020627899846557697,-0.0006798520757196508
0,0,1,1.5748515623839892,0.07867372338963824,-0.004638928407593635
0,1,0,0.001703805043674761,0.022467985988429955,-0.0006859069981190676
0,1,1,0.47138096360995047,0.21205788185745256,-0.0077719338138032956
1,0,0,1.4188134558654446,-0.007064844534491858,-0.0015089499827889545
1,0,1,2.301584919688692,-0.027596119245970708,-0.002126687326083254
1,1,0,0.21699353456819193,0.10500919247814242,-0.0040628600380498685
1,1,1,0.9371531946233457,0.17060518759386456,-0.007454254268841961
