,const,high_educ,good_health,above_50,above_55,above_60,const_ser,high_educ_ser,good_health_ser,above_50_ser,above_55_ser,above_60_ser
Men,-3.0055663401872077,-1.2661596963616792,-0.9334370242403699,-0.3440350134520399,0.22386041822549885,0.3676861369094855,0.0850154953198567,0.1085843341412743,0.0861325413081161,0.11076062272693325,0.14159776389523904,0.14262681717816592
Women,-2.727227769981707,-0.7908677902083782,-0.9515594537619217,-0.4030832478261151,-0.16497130134358357,0.2945209062970085,0.07190908417386364,0.07878682256390021,0.07438954190524713,0.09514249651881587,0.13480724834017543,0.15312408698816013
