sex,education,experience,has_partner,credited_periods,pgexpft,experience_men,experience_women,very_long,predicted_credited_periods
0,0,38.25,1,45.0,38.25,38.25,0.0,True,41.18756113424672
1,0,3.0,0,22.865525114155254,3.0,0.0,3.0,False,4.302431679808578
1,0,24.25,0,21.215981735159815,10.0,0.0,24.25,False,34.777989411786
1,0,18.66699981689453,1,41.43447488584475,18.66699981689453,0.0,18.66699981689453,False,26.771163793062648
1,1,15.208499908447266,0,27.65684931506849,5.25,0.0,15.208499908447266,False,21.81117726948979
0,1,37.16699981689453,1,18.849771689497715,36.16699981689453,37.16699981689453,0.0,False,40.02138763751321
1,0,18.0,1,26.01164383561644,4.0,0.0,18.0,False,25.814590078851467
0,1,27.375,0,6.916666666666667,25.25,27.375,0.0,False,29.47737218431383
1,0,25.625499725341797,0,47.185388127853884,18.16699981689453,0.0,25.625499725341797,True,36.75065394307885
1,1,47.916500091552734,0,62.18835616438356,42.83300018310547,0.0,47.916500091552734,True,68.71915599314903
0,0,37.75,1,42.75,37.25,37.75,0.0,False,40.64916164229578
0,0,43.33300018310547,1,48.333333333333336,43.33300018310547,43.33300018310547,0.0,True,46.66093056658773
1,0,38.375,1,57.17214611872146,34.5,0.0,38.375,True,55.03527190421806
1,0,35.0,1,24.674885844748857,28.75,0.0,35.0,False,50.195036264433405
0,0,47.083499908447266,1,24.666666666666668,42.0,47.083499908447266,0.0,False,50.69946485996004
0,0,43.25,1,47.5,43.25,43.25,0.0,True,46.5715560537561
1,0,44.83300018310547,0,47.583333333333336,44.83300018310547,0.0,44.83300018310547,True,64.29697342955224
0,0,38.208499908447266,1,48.166666666666664,37.91699981689453,38.208499908447266,0.0,True,41.1428738778309
1,0,24.625,1,58.4458904109589,5.0,0.0,24.625,True,35.315793371762076
1,0,5.0,1,16.005479452054793,3.0,0.0,5.0,False,7.170719466347629
1,1,21.75,0,26.333789954337902,18.0,0.0,21.75,False,31.19262967861219
1,0,2.0,0,16.58881278538813,2.0,0.0,2.0,False,2.8682877865390517
1,0,16.291500091552734,0,36.333333333333336,15.0,0.0,16.291500091552734,False,23.364355368500274
0,0,42.16699981689453,1,43.833333333333336,42.16699981689453,42.16699981689453,0.0,False,45.405382557022584
1,1,41.25,0,7.502739726027397,41.25,0.0,41.25,False,59.15843559736794
0,0,43.16699981689453,0,50.416666666666664,43.16699981689453,43.16699981689453,0.0,True,46.48218154092446
0,1,27.75,1,5.083333333333333,27.75,27.75,0.0,False,29.88117180327703
1,1,34.833499908447266,0,58.28972602739726,26.0,0.0,34.833499908447266,True,49.95625117490423
1,0,30.5,0,51.521004566210046,20.5,0.0,30.5,True,43.74138874472054
1,0,45.416500091552734,0,68.88995433789954,45.33300018310547,0.0,45.416500091552734,True,65.13379625997521
0,0,39.4995002746582,1,44.833333333333336,36.58300018310547,39.4995002746582,0.0,False,42.53302176038378
0,0,40.291500091552734,1,47.25,35.83300018310547,40.291500091552734,0.0,True,43.38584635846629
1,0,42.875,0,46.333333333333336,40.25,0.0,42.875,True,61.48891942393092
0,0,43.0,1,49.0,43.0,43.0,0.0,True,46.30235630778063
1,0,45.791500091552734,1,59.31849315068493,44.0,0.0,45.791500091552734,True,65.67160021995129
1,0,27.0,1,56.28675799086758,27.0,0.0,27.0,True,38.7218851182772
1,0,40.0,0,43.23607305936073,40.0,0.0,40.0,False,57.36575573078103
0,0,35.2504997253418,1,44.583333333333336,33.66699981689453,35.2504997253418,0.0,False,37.95770228628137
1,0,41.91699981689453,0,45.0,41.91699981689453,0.0,41.91699981689453,True,60.11500931157912
0,0,44.0,1,44.166666666666664,44.0,44.0,0.0,False,47.3791552916825
1,0,34.41699981689453,1,59.68287671232876,28.91699981689453,0.0,34.41699981689453,True,49.35893011205768
