syear,cpi
2009,0.0989
2010,1
2011,1.020751728
2012,1.041253413
2013,1.056921396
2014,1.066505496
2015,1.071991879
2016,1.077263367
2017,1.093524602
2018,1.112466294
2019,1.128548771
2020,1.130183789
2021,1.164842759
2022,1.244897444
