Tabelle: 12621-0001
Sterbetafel (Periodensterbetafel): Deutschland, Jahre, Geschlecht, Vollendetes Alter;;;;;;;;;;;;;;;
Sterbetafeln;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;männlich;;;;;;;;;;;;;;weiblich;;;;;;;;;;;;;
;;Sterbewahrscheinlichkeit [q(x)];;Überlebenswahrscheinlichkeit [p(x)];;Überlebende [l(x)];;Gestorbene [d(x)];;Bis zum Alter x+1 durchlebte Jahre [L(x)];;Insgesamt noch zu durchlebende Jahre [T(x)];;Durchschnittliche Lebenserwartung [e(x)];;Sterbewahrscheinlichkeit [q(x)];;Überlebenswahrscheinlichkeit [p(x)];;Überlebende [l(x)];;Gestorbene [d(x)];;Bis zum Alter x+1 durchlebte Jahre [L(x)];;Insgesamt noch zu durchlebende Jahre [T(x)];;Durchschnittliche Lebenserwartung [e(x)];
;;Ziffer;Ziffer;Ziffer;Ziffer;Anzahl;Anzahl;Anzahl;Anzahl;Jahre;Jahre;Jahre;Jahre;Jahre;Jahre;Ziffer;Ziffer;Ziffer;Ziffer;Anzahl;Anzahl;Anzahl;Anzahl;Jahre;Jahre;Jahre;Jahre;Jahre;Jahre
;23 Jahre;0,00046739;e;0,99953261;e;99228;e;46;e;99205;e;5527630;e;55,71;e;0,00018379;e;0,99981621;e;99430;e;18;e;99421;e;6008764;e;60,43;e
;24 Jahre;0,00045793;e;0,99954207;e;99181;e;45;e;99159;e;5428426;e;54,73;e;0,00018023;e;0,99981977;e;99411;e;18;e;99402;e;5909344;e;59,44;e
;25 Jahre;0,00045411;e;0,99954589;e;99136;e;45;e;99113;e;5329267;e;53,76;e;0,00018269;e;0,99981731;e;99393;e;18;e;99384;e;5809941;e;58,45;e
;26 Jahre;0,00045729;e;0,99954271;e;99091;e;45;e;99068;e;5230154;e;52,78;e;0,00019114;e;0,99980886;e;99375;e;19;e;99366;e;5710557;e;57,46;e
;27 Jahre;0,00046735;e;0,99953265;e;99046;e;46;e;99023;e;5131085;e;51,81;e;0,00020504;e;0,99979496;e;99356;e;20;e;99346;e;5611191;e;56,48;e
;28 Jahre;0,00048446;e;0,99951554;e;98999;e;48;e;98975;e;5032063;e;50,83;e;0,00022399;e;0,99977601;e;99336;e;22;e;99325;e;5511845;e;55,49;e
;29 Jahre;0,00050907;e;0,99949093;e;98951;e;50;e;98926;e;4933087;e;49,85;e;0,00024751;e;0,99975249;e;99314;e;25;e;99301;e;5412520;e;54,50;e
;30 Jahre;0,00054193;e;0,99945807;e;98901;e;54;e;98874;e;4834161;e;48,88;e;0,00027482;e;0,99972518;e;99289;e;27;e;99275;e;5313219;e;53,51;e
;31 Jahre;0,00058384;e;0,99941616;e;98847;e;58;e;98819;e;4735287;e;47,91;e;0,00030497;e;0,99969503;e;99262;e;30;e;99247;e;5213943;e;52,53;e
;32 Jahre;0,00063492;e;0,99936508;e;98790;e;63;e;98758;e;4636468;e;46,93;e;0,00033793;e;0,99966207;e;99232;e;34;e;99215;e;5114697;e;51,54;e
