education,constant,period,period_sq,period_cub,constant_ser,period_ser,period_sq_ser,period_cub_ser
Low Education,823.5924829242904,19.237037720616357,1.7130346308282287,-0.050471826778421346,32.94803041706502,6.9654593756316325,0.4123567772646238,0.006969536266865983
High Education,2004.5560122601496,-72.61855377561476,7.314982150457991,-0.1376005912849604,80.21034756416196,16.67634197701379,0.9800532890898287,0.016515489160635045
