education,sex,choice,annual_hours
0,0,2.0,1274.6062033208555
0,0,3.0,2054.8636079994467
0,1,2.0,1222.1751598160445
0,1,3.0,1988.8962087560808
1,0,2.0,1381.8706762406014
1,0,3.0,2044.7534424630308
1,1,2.0,1251.5630693824432
1,1,3.0,1985.130725431928
