sex,education,experience,pp_per_exp
1,1,31.0,32.845085
1,1,32.0,34.079255
1,1,33.0,35.321179
1,1,34.0,36.570677
1,1,35.0,37.827582
1,1,36.0,39.091732
1,1,37.0,40.362974
1,1,38.0,41.641162
1,1,39.0,42.926157
1,1,40.0,44.217826
1,1,41.0,45.516041
1,1,42.0,46.82068
1,1,43.0,48.131627
1,1,44.0,49.448768
1,1,45.0,50.771996
1,1,46.0,52.101208
1,1,47.0,53.436304
1,1,48.0,54.777187
1,1,49.0,56.123764
1,1,50.0,57.475948
1,1,51.0,58.833651
1,1,52.0,60.19679
1,1,53.0,61.565285
1,1,54.0,62.939058
1,1,55.0,64.318033
1,1,56.0,65.702139
1,1,57.0,67.091303
1,1,58.0,68.485458
1,1,59.0,69.884537
1,1,60.0,71.288476
