,,2013,2014,2015,2016,2017,2018,2019
all,all,-0.16255064084783785,-0.14200881916048694,-0.12542445427252807,-0.10720941050751365,-0.0839616628938576,-0.05667190034233992,-0.022912698888606503
Low Education,Men,-0.14535665863920677,-0.1250075809639273,-0.1137329977523478,-0.09478671050832234,-0.07673905682661508,-0.04741072336448279,-0.02147153542089573
High Education,Men,-0.14711302519805522,-0.12526820531639782,-0.1084552330421996,-0.09074180729788484,-0.0713554741648523,-0.043760547633156954,-0.016223223494918837
Low Education,Women,-0.18350884197861372,-0.1667330943129364,-0.14613940084412985,-0.12496800001906057,-0.09679758446968068,-0.06932713275322812,-0.02729321194520065
High Education,Women,-0.19393406860871237,-0.16296467588761857,-0.14071489877051604,-0.12573987076741622,-0.09454886138397994,-0.06756148186419596,-0.02620397699549607
