,savings inc,av RetAge inc months,av RetAge base,ft ls diff ppp,cv cons inc
all,1.7761453101171325,14.09388000000007,66.10507,-0.00022903225806450523,0.9173127874927062
Low Education,0.9748754377155955,15.770528283412602,65.60925423175635,-0.0003072333351039947,1.0056334294477653
High Education,0.9723059080378541,10.626330807228442,67.1304881416255,-6.730121152078645e-05,0.9998286868853137
