,savings increase,av ret age diff months,labor supply diff ppp,cv cons increase
all,0.9932386368386923,-0.05759999999986576,-0.00012225806451612417,-4.933078914483749e-08
no abitur,0.9907022989443972,-0.08117851261738451,-0.0002096077893700197,-1.1396076534457093e-07
abitur,1.0016094311596277,-0.008836253183233111,5.839369823126559e-05,3.1314163880655874e-08
