covariate,sex_0,sex_1,education_0,education_1
mean_alpha,0.044782123964009636,0.03975100269993453,0.04112148998872387,0.04381299917286347
std_err_alpha,0.0029505223912276806,0.002753284512695717,0.003272340881548201,0.002551523645356458
mean_sigma_sq,0.04044171924650688,0.038088200959876264,0.040370822350044896,0.038558877453771075
std_err_sigma_sq,0.002335749510280429,0.0019454959765060843,0.002287173826571519,0.002090540284987625
mean_informed,0.3333333333333333,0.24503311258278146,0.2571428571428571,0.3192982456140351
std_err_informed,0.028121636040639858,0.024790945614365,0.02616602685083574,0.027664162761125894
